###############################################################################
# EEPROM Parameters
###############################################################################
Serial_Number_EEPROM                     , 0x0113, uint, dec, 16, 6, 0x00AE, spr, spr
PWM_Nominal_Freq_EEPROM_(kHz)            , 0x0150, uint, dec, 16, 0, 0x00F1, spr, spr
PWM_Minimum_Variable_Freq_EEPROM_(kHz)   , 0x01BE, uint, dec, 16, 0, 0x00F6, spr, spr
PWM_Maximum_Variable_Freq_EEPROM_(kHz)   , 0x01BF, uint, dec, 16, 0, 0x00F7, spr, spr
PWM_Stall_Freq_EEPROM_(kHz)              , 0x01BD, uint, dec, 16, 0, 0x00F5, spr, spr
PWM_Var_Freq_Mode_EEPROM(0=NOM_1=VARS_2=VAR), 0x0179, uint, dec, 16, 0, 0x00FA, spr, spr
PWM_Var_Dwell_Rate_EEPROM_(3ms)          , 0x01C0, uint, dec, 16, 0, 0x00F8, spr, spr
Motor_Type_EEPROM                        , 0x0119, uint, dec, 16, 0, 0x0096, spr, spr
Veh_Flux_EEPROM_(Wb)_x_1000              , 0x0100, uint, dec, 16, 0, 0x006A, spr, spr
Angle_Advance_Factor_EEPROM_x_100        , 0x0149, int, dec, 16, 0, 0x00B0, spr, spr
Gamma_Adjust_EEPROM_(Deg)_x_10           , 0x011A, int, dec, 16, 0, 0x0098, spr, spr
#Resolver_PWM_Delay_EEPROM_(Counts)      , 0x0118, uint, dec, 16, 0, 0x0097, spr, spr

Run_Mode_EEPROM(Trq=0_Spd=1)             , 0x0116, uint, dec, 16, 1, 0x008E, spr, spr
Inv_Cmd_Mode_EEPROM(CAN=0_VSM=1)         , 0x011B, uint, dec, 16, 1, 0x008F, spr, spr
Key_Switch_Mode_EEPROM                   , 0x012B, uint, dec, 16, 1, 0x0095, spr, spr
Precharge_Bypassed_EEPROM_(0=N_1=Y)      , 0x0115, uint, dec, 16, 1, 0x008C, spr, spr
Relay_Output_State_EEPROM_(0=OFF_1=ON)   , 0x012C, uint, hex, 16, 1, 0x00AA, spr, spr
Discharge_Enable_EEPROM                  , 0x016D, uint, dec, 16, 1, 0x00AD, spr, spr

CAN_ID_Offset_EEPROM                     , 0x011D, uint, hex, 16, 8, 0x008D, spr, spr
CAN_Extended_Msg_ID_EEPROM(0=N_1=Y)      , 0x0131, uint, dec, 16, 8, 0x0090, spr, spr
CAN_J1939_Option_Active_EEPROM           , 0x0132, uint, dec, 16, 8, 0x00AB, spr, spr
CAN_OBD2_Enable_EEPROM                   , 0x0152, uint, dec, 16, 8, 0x00B1, spr, spr
CAN_BMS_Limit_Enable_EEPROM              , 0x017F, uint, dec, 16, 8, 0x00B2, spr, spr
CAN_Term_Res_Present_EEPROM              , 0x011E, uint, dec, 16, 8, 0x0091, spr, spr
CAN_Command_Message_Active_EEPROM        , 0x011F, uint, dec, 16, 8, 0x0092, spr, spr
CAN_Bit_Rate_EEPROM_(kbps)               , 0x0120, uint, dec, 16, 8, 0x0093, spr, spr
CAN_ACTIVE_MSGS_EEPROM_(Lo_Word)         , 0x0129, uint, hex, 16, 8, 0x0094, spr, spr
CAN_ACTIVE_MSGS_EEPROM_(Hi_Word)         , 0x012A, uint, hex, 16, 8, 0x00ED, spr, spr
CAN_Fast_Msg_Rate_EEPROM_(ms)            , 0x0180, uint, dec, 16, 8, 0x00EB, spr, spr
CAN_Slow_Msg_Rate_EEPROM_(ms)            , 0x0181, uint, dec, 16, 8, 0x00EC, spr, spr
CAN_Diag_Data_Tx_Active_EEPROM           , 0x0160, uint, dec, 16, 8, 0x009E, spr, spr
