Bitfield,Size,b[0] (lsb) 0x1,b[1] 0x2,b[2] 0x4,b[3] 0x8,b[4] 0x10,b[5] 0x20,b[6] 0x40,b[7] 0x80,Note that these are to save bandwidth. We should optimize booleans with 1 hot encodings wherever possible (that get OR'd to a bitfield)
apps_faults,6,APPS1 Disconnect; apps1_disconnect #6,APPS2 Disconnect; apps2_disconnect #8,APPS1 Out of Range; apps1_out_range #7,APPS2 Out of Range; apps2_out_range #9,APPS Mismatch; apps_mismatch #11,APPS Implausibility; apps_implause #10,,,
bpps_faults,5,BPPS1 Disconnect; bpps1_disconnect #15,BPPS2 Disconnect; bpps2_disconnect #17,BPPS1 Out of Range; bpps1_out_range #16,BPPS2 Out of Range; bpps2_out_range #18,BPPS Mismatch; bpps_mismatch #19,,,,
bse_faults,4,BSE1 Disconnect; bse1_disconnect #21,BSE2 Disconnect; bse2_disconnect #23,BSE1 Out of Range; bse1_out_range #22,BSE2 Out of Range; bse2_out_range #24,,,,,
vcu_shutdown_faults,3,Shutdown BSPD Relay Status; shutdown_bspd_status #30,Shutdown E-Meter HVIL Status; shutdown_emeter_status #31,Shutdown MSD HVIL Status: shutdown_msd_status,,,,,,
vcu_fuses_1,8,Battery Pump Fuse; batt_pump_fuse #13,TSSI Green Fuse; tssi_green_fuse #34,TSSI Red Fuse; tssi_red_fuse #35,Battery Fans Fuse; batt_fans_fuse #12,Shutdown Fuse; shtdn_fuse #29,Linelock Fuse; ll_fuse #25,Motor Pump Fuse; motor_pump_fuse #26,Boards Fuse; boards_fuse #14,
vcu_fuses_2,3,Brake Light Fuse; brake_light_fuse #20,Ready to Move Light Fuse; rtd_fuse #28,Spare Fuse; spare_fuse #32,nothing,,,,,
switch_command,2,Temp Command 1; temp_command_1 #31,Temp Command 2; temp_command_2 #32,,,,,,,
switch_output,2,Temp Output 1; temp_output_1 #33,Temp Output 2; temp_output_2 #34,,,,,,,
dui_shutdown_faults,2,Temp Shutdown 1; temp_shutdown_1 #12,Temp Shutdown 2; temp_shutdown_2 #13,,,,,,,
dui_imd_faults,2,Temp IMD 1; temp_imd_1 #10,Temp IMD 2; temp_imd_2 #11,,,,,,,
dui_ams_faults,2,Temp AMS 1; temp_ams_1 #29,Temp AMS 2; temp_ams_2 #30,,,,,,,
